Atom,A,B,Value,Uncertainty,Method,Year,Citation,Notes
Rb,5p-,5s,4.246,,CPM,2012,"V. A. Dzuba, V. V. Flambaum, and B. M. Roberts, Phys. Rev. A 86, 062512 (2012).",
Rb,5p-,5s,4.231,0.003,Expt.,1996,"U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996)",
Rb,5p-,4d-,8.051,0.063,Expt.+Theory,2007,"K. E. Miller, D. Krause, and L. R. Hunter, Phys. Rev. A 49, 5128 (1994); B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
Rb,5p-,5s,4.233,0.002,,2015,"10.1103/PhysRevA.92.052501: Average of: Volz96, Sims 98, Gutterres 2002",
Rb,5p+,5s,5.956,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,5p+,6s,6.013,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,5p+,5s,5.956,,CCSD,2004,"M. S. Safronova, C. J. Williams, and C. W. Clark, Phys. Rev. A 69, 022509 (2004).",Exactly same as above
Rb,5p+,4d-,3.540,,CCSD,2004,"M. S. Safronova, C. J. Williams, and C. W. Clark, Phys. Rev. A 69, 022509 (2004).",
Rb,5p+,4d+,10.634,,CCSD,2004,"M. S. Safronova, C. J. Williams, and C. W. Clark, Phys. Rev. A 69, 022509 (2004).",
Rb,5p+,5d-,0.787,,CCSD,2004,"M. S. Safronova, C. J. Williams, and C. W. Clark, Phys. Rev. A 69, 022509 (2004).",
Rb,5p+,5d+,2.334,,CCSD,2004,"M. S. Safronova, C. J. Williams, and C. W. Clark, Phys. Rev. A 69, 022509 (2004).",
Rb,5p+,5s,6.013,,CCSD,2007,"R. Pal, M. S. Safronova, W. R. Johnson, A. Derevianko, and S. G. Porsev, Phys. Rev. A 75, 042515 (2007).",
Rb,5p+,5s,6.003,0.048,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",
Rb,5p+,6s,6.047,0.013,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",
Rb,5p+,4d-,3.628,0.020,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",
Rb,5p+,4d+,10.889,0.058,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",
Rb,5p+,5d-,,,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",
Rb,5p+,5d+,1.982,,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",quoted in text only
Rb,5p+,5s,6.02,0.05,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,5p+,4d-,3.65,0.02,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,5p+,4d+,10.96,0.04,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,5p+,5s,5.994,,CPM,2012,"V. A. Dzuba, V. V. Flambaum, and B. M. Roberts, Phys. Rev. A 86, 062512 (2012).",
Rb,5p+,5s,5.978,0.005,Expt.,1996,"U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996)",
Rb,5p+,4d-,3.633,0.028,Expt.+Theory,2007,"K. E. Miller, D. Krause, and L. R. Hunter, Phys. Rev. A 49, 5128 (1994); B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
Rb,5p+,4d+,10.899,0.086,Expt.+Theory,2007,"K. E. Miller, D. Krause, and L. R. Hunter, Phys. Rev. A 49, 5128 (1994); B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007).",
Rb,5p+,5d+,2.266,0.04,Expt.,2016,"D. J. Whiting, J. Keaveney, C. S. Adams, and I. G. Hughes, Phys. Rev. A 93 , 043854 (2016); Phys. Rev. A 97, 049902 (2018).",
Rb,5p+,5s,5.978,0.004,,2015,"10.1103/PhysRevA.92.052501: Average of: Volz96, Sims 98, Gutterres 2002",
Rb,6p-,5s,0.333,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,6p-,6s,9.684,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,6p-,5s,0.333,,CCSD,2004,"M. S. Safronova, C. J. Williams, and C. W. Clark, Phys. Rev. A 69, 022509 (2004).",Exactly same as above
Rb,6p-,6s,9.721,0.024,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",
Rb,6p-,5s,0.342,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,6p-,5s,0.325,0.009,CCSDpT,2012,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 84, 043401 (2011).","Error from: C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)"
Rb,6p-,5s,0.334,,CCSD,2020,"Simranpreet Kaur, Bindiya Arora, B. K. Sahoo, https://arxiv.org/abs/2012.07362",
Rb,6p-,5s,0.3235,0.0009,Expt.,2012,"C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",
Rb,6p+,5s,0.541,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,6p+,6s,13.592,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",Typo in table (label)
Rb,6p+,5s,0.541,,CCSD,2004,"M. S. Safronova, C. J. Williams, and C. W. Clark, Phys. Rev. A 69, 022509 (2004).",Exactly same as above
Rb,6p+,6s,13.647,0.034,CCSDpT,2011,"M. S. Safronova and U. I. Safronova, Phys. Rev. A 83, 052508 (2011).",
Rb,6p+,5s,0.553,0.003,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,6p+,5s,0.528,0.013,CCSDpT,2012,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 84, 043401 (2011).","Error from: C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)"
Rb,6p+,5s,0.541,,CCSD,2020,"Simranpreet Kaur, Bindiya Arora, B. K. Sahoo, https://arxiv.org/abs/2012.07362",
Rb,6p+,5s,0.5230,0.0008,Expt.,2012,"C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",
Rb,7p-,5s,0.115,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,7p-,6s,0.999,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,7p-,5s,0.118,0.01,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,7p+,5s,0.202,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,7p+,6s,1.540,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",Typo in table (label)
Rb,7p+,5s,0.207,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,8p-,5s,0.059,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,8p-,6s,0.393,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",Typo in table (label)
Rb,8p-,5s,0.061,0.005,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,8p+,5s,0.111,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Rb,8p+,6s,0.628,,CCSD,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",Typo in table (label)
Rb,8p+,5s,0.114,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012).",
Rb,Ratio^2,5s/p,1.99221,0.00003,,2015,10.1103/PhysRevA.92.052501,
Sr+,4d3/2,5p1/2,3.112,0.010,CCSDpT,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009).",
Sr+,4d3/2,5p3/2,1.383,0.005,CCSDpT,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009).",
Sr+,4d3/2,5p1/2,3.112,0.036,CCSDpT,2010,"U. I. Safronova, Phys. Rev. A 82, 022504 (2010).",
Sr+,4d3/2,5p3/2,1.382,0.036,CCSDpT,2010,"U. I. Safronova, Phys. Rev. A 82, 022504 (2010).",
Sr+,4d3/2,5p1/2,3.083,,CCSD,2011,"Safronova et al, Can. J. Phys. 89: 465–472 (2011)",
Sr+,4d3/2,5p3/2,1.3694,,CCSD,2011,"Safronova et al, Can. J. Phys. 89: 465–472 (2011)",
Sr+,4d3/2,5p1/2,3.096,0.023,Semi-emp,2016,"J. Jiang, J. Mitroy, Y. Cheng, and M. W. J. Bromley, Phys. Rev. A 94, 1 (2016).",
Sr+,4d3/2,5p3/2,1.379,0.011,Semi-emp,2016,"J. Jiang, J. Mitroy, Y. Cheng, and M. W. J. Bromley, Phys. Rev. A 94, 1 (2016).",
Sr+,4d3/2,5p1/2,3.11,0.03,“rec”,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,4d3/2,5p3/2,1.38,0.01,“rec”,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,4d3/2,5p1/2,3.102,,,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,4d3/2,5p3/2,1.378,,,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,4d3/2,5p1/2,3.093,0.015,Expt,2016,"H. Zhang, M. Gutierrez, G. H. Low, R. Rines, J. Stuart, T. Wu, and I. Chuang, New J. Phys. 18, 123021 (2016).",* All rely on lifetime measurements of  E H Pinnington et al 1995 J. Phys. B: At. Mol. Opt. Phys. 28 2095 – older measurements disagree by 1 sigma
Sr+,4d3/2,5p3/2,1.378,0.034,Expt,2016,"H. Zhang, M. Gutierrez, G. H. Low, R. Rines, J. Stuart, T. Wu, and I. Chuang, New J. Phys. 18, 123021 (2016).",* All rely on lifetime measurements of  E H Pinnington et al 1995 J. Phys. B: At. Mol. Opt. Phys. 28 2095 – older measurements disagree by 1 sigma
Sr+,4d5/2,5p3/2,4.187,0.014,CCSDpT,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009).",
Sr+,4d5/2,5p3/2,4.187,0.048,CCSDpT,2010,"U. I. Safronova, Phys. Rev. A 82, 022504 (2010).",
Sr+,4d5/2,5p3/2,4.1497,,CCSD,2011,"Safronova et al, Can. J. Phys. 89: 465–472 (2011)",
Sr+,4d5/2,5p3/2,4.173,0.031,Semi-emp,2016,"J. Jiang, J. Mitroy, Y. Cheng, and M. W. J. Bromley, Phys. Rev. A 94, 1 (2016).",
Sr+,4d5/2,5p3/2,4.18,0.04,“rec”,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,4d5/2,5p3/2,4.173,,,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,4d5/2,5p3/2,4.175,0.022,Expt,2016,"H. Zhang, M. Gutierrez, G. H. Low, R. Rines, J. Stuart, T. Wu, and I. Chuang, New J. Phys. 18, 123021 (2016).",* All rely on lifetime measurements of  E H Pinnington et al 1995 J. Phys. B: At. Mol. Opt. Phys. 28 2095 – older measurements disagree by 1 sigma
Sr+,5s1/2,5p1/2,3.078,0.015,CCSD,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009).",
Sr+,5s1/2,5p3/2,4.351,0.022,CCSD,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009).",
Sr+,5s1/2,5p1/2,3.0784,,CCSD,2011,"Safronova et al, Can. J. Phys. 89: 465–472 (2011)",
Sr+,5s1/2,5p3/2,4.3507,,CCSD,2011,"Safronova et al, Can. J. Phys. 89: 465–472 (2011)",
Sr+,5s1/2,5p1/2,3.047,0.023,Semi-emp,2016,"J. Jiang, J. Mitroy, Y. Cheng, and M. W. J. Bromley, Phys. Rev. A 94, 1 (2016).",
Sr+,5s1/2,5p3/2,4.310,0.032,Semi-emp,2016,"J. Jiang, J. Mitroy, Y. Cheng, and M. W. J. Bromley, Phys. Rev. A 94, 1 (2016).",
Sr+,5s1/2,5p1/2,3.07,0.02,“rec”,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,5s1/2,5p3/2,4.35,0.03,“rec”,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,5s1/2,5p1/2,3.09,,CCSDpTsc,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,5s1/2,5p3/2,4.367,,,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Sr+,5s1/2,5p1/2,3.109,0.007,,2015,"J. Kaur, D. K. Nandy, B. Arora, and B. K. Sahoo, Phys. Rev. A 91, 012705 (2015).",
Sr+,5s1/2,5p3/2,4.394,0.006,,2015,"J. Kaur, D. K. Nandy, B. Arora, and B. K. Sahoo, Phys. Rev. A 91, 012705 (2015).",
Sr+,5s1/2,5p1/2,3.076,0.024,Expt,2016,"H. Zhang, M. Gutierrez, G. H. Low, R. Rines, J. Stuart, T. Wu, and I. Chuang, New J. Phys. 18, 123021 (2016).",* All rely on lifetime measurements of  E H Pinnington et al 1995 J. Phys. B: At. Mol. Opt. Phys. 28 2095 – older measurements disagree by 1 sigma
Sr+,5s1/2,5p3/2,4.360,0.023,Expt,2016,"H. Zhang, M. Gutierrez, G. H. Low, R. Rines, J. Stuart, T. Wu, and I. Chuang, New J. Phys. 18, 123021 (2016).",* All rely on lifetime measurements of  E H Pinnington et al 1995 J. Phys. B: At. Mol. Opt. Phys. 28 2095 – older measurements disagree by 1 sigma
Yb+,d-,p-,3.06,,MBPT(2)+SR?,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d-,p+,1.35,,MBPT(2)+SR?,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d-,p-,2.98,,CCSD,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d-,p+,1.32,,CCSD,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d-,p-,2.53,,CI (15 el),2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d-,p+,1.05,,CI (15 el),2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d-,p-,2.97,,,2009,"U. I. Safronova and M. S. Safronova, Phys.Rev.A 79, 022512 (2009)",
Yb+,d-,p+,1.31,,,2009,"U. I. Safronova and M. S. Safronova, Phys.Rev.A 79, 022512 (2009)",
Yb+,d-,p-,3.09,,PTSCI,2011,"V. A. Dzuba and V. V. Flambaum, Phys.Rev.A 83, 052513 (2011)",
Yb+,d-,p+,1.36,,PTSCI,2011,"V. A. Dzuba and V. V. Flambaum, Phys.Rev.A 83, 052513 (2011)",
Yb+,d-,p-,3.06,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",
Yb+,d-,p+,1.35,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",
Yb+,d-,p-,2.97,0.04,Expt,2009,"S. Olmschenk, K. C. Younge, D. L. Moehring, D. N. Matsukevich, P. Maunz, and C. Monroe,Phys.Rev.A76, 052314 (2007); S. Olmschenk, D. Hayes, D. N. Matsukevich, P. Maunz, D. L. Moehring, K. C. Younge, and C. Monroe, Phys.Rev.A 80, 022502 (2009).","See also: [1] T. R. Tan, C. L. Edmunds, A. R. Milne, M. J. Biercuk, and C. Hempel, Phys. Rev. A 104, L010802 (2021). - lifetimes + branching
[1] T. Feldker, H. Fürst, N. V. Ewald, J. Joger, and R. Gerritsma, Phys. Rev. A 97, 032511 (2018). - branching"
Yb+,d+,p+,4.23,,MBPT(2)+SR?,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d+,p+,3.27,,CI (15 el),2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,d+,p+,4.12,,,2009,"U. I. Safronova and M. S. Safronova, Phys.Rev.A 79, 022512 (2009)",
Yb+,d+,p+,4.23,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",
Yb+,s,p-,2.75,,MBPT(2)+SR?,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,s,p+,3.83,,MBPT(2)+SR?,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,s,p-,2.64,,CCSD,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,s,p+,3.71,,CCSD,2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,s,p-,2.51,,CI (15 el),2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,s,p+,3.32,,CI (15 el),2012," S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Yb+,s,p-,2.68,,,2009,"U. I. Safronova and M. S. Safronova, Phys.Rev.A 79, 022512 (2009)",
Yb+,s,p+,3.77,,,2009,"U. I. Safronova and M. S. Safronova, Phys.Rev.A 79, 022512 (2009)",
Yb+,s,p-,2.72,,PTSCI,2011,"V. A. Dzuba and V. V. Flambaum, Phys.Rev.A 83, 052513 (2011)",
Yb+,s,p+,3.84,,PTSCI,2011,"V. A. Dzuba and V. V. Flambaum, Phys.Rev.A 83, 052513 (2011)",
Yb+,s,p-,2.72,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",
Yb+,s,p+,3.83,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",
Yb+,s,p-,2.471,0.003,Expt,2009,"S. Olmschenk, K. C. Younge, D. L. Moehring, D. N. Matsukevich, P. Maunz, and C. Monroe,Phys.Rev.A76, 052314 (2007); S. Olmschenk, D. Hayes, D. N. Matsukevich, P. Maunz, D. L. Moehring, K. C. Younge, and C. Monroe, Phys.Rev.A 80, 022502 (2009).",
Yb+,s,p+,3.36,0.03,Expt,1994,"E. H. Pinnington, R. W. Berends, and Q. Ji, Phys. Rev. A 50, 2758 (1994); S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012).",
Cs,6p-,7s,4.233,0.022,Expt. + Th (??),1989,"M.-A. Bouchiat, J. Gue´na, and L. Pottier, J. Phys. (France) Lett. 45, L523 (1984); V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,6p+,7s,6.479,0.031,Expt. + Th (??),1989,"M.-A. Bouchiat, J. Gue´na, and L. Pottier, J. Phys. (France) Lett. 45, L523 (1984); V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,7p-,7s,10.308,0.015,Expt. + Th,1999,"S.C. Bennett, J.L. Roberts, and C.E. Wieman, Phys. Rev. A 59, R16 (1999); M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,7p+,7s,14.32,0.02,Expt. + Th,1999,"S.C. Bennett, J.L. Roberts, and C.E. Wieman, Phys. Rev. A 59, R16 (1999); M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",